,Microbe_0,Microbe_1,Microbe_2,Microbe_3,Microbe_4,Microbe_5,Microbe_6,Microbe_7,Microbe_8,Microbe_9,Microbe_10,Microbe_11,Microbe_12,Microbe_13,Microbe_14,Microbe_15,Microbe_16,Microbe_17,Microbe_18,Microbe_19,Microbe_20,Microbe_21,Microbe_22,Microbe_23,Microbe_24,Microbe_25,Microbe_26,Microbe_27,Microbe_28,Microbe_29,Microbe_30,Microbe_31,Microbe_32,Microbe_33,Microbe_34,Microbe_35,Microbe_36,Microbe_37,Microbe_38,Microbe_39,Microbe_40,Microbe_41,Microbe_42,Microbe_43,Microbe_44,Microbe_45,Microbe_46,Microbe_47,Microbe_48,Microbe_49,Microbe_50,Microbe_51,Microbe_52,Microbe_53,Microbe_54,Microbe_55,Microbe_56,Microbe_57,Microbe_58,Microbe_59,Microbe_60,Microbe_61,Microbe_62,Microbe_63,Microbe_64,Microbe_65,Microbe_66,Microbe_67,Microbe_68,Microbe_69,Microbe_70,Microbe_71,Microbe_72,Microbe_73,Microbe_74,Microbe_75,Microbe_76,Microbe_77,Microbe_78,Microbe_79,Microbe_80,Microbe_81,Microbe_82,Microbe_83,Microbe_84,Microbe_85,Microbe_86,Microbe_87,Microbe_88,Microbe_89,Microbe_90,Microbe_91,Microbe_92,Microbe_93,Microbe_94,Microbe_95,Microbe_96,Microbe_97,Microbe_98,Microbe_99,Microbe_100,Microbe_101,Microbe_102,Microbe_103,Microbe_104,Microbe_105,Microbe_106,Microbe_107,Microbe_108,Microbe_109,Microbe_110,Microbe_111,Microbe_112,Microbe_113,Microbe_114,Microbe_115,Microbe_116,Microbe_117,Microbe_118,Microbe_119,Group
Patient_0,54,50,49,79,50,77,59,46,81,52,48,46,49,81,45,82,44,51,47,50,50,49,81,62,50,51,60,80,45,61,49,62,46,73,80,48,77,70,49,78,52,45,79,50,46,48,27,54,25,47,83,55,54,53,51,52,56,52,52,58,48,53,80,50,84,82,58,48,44,50,49,58,80,63,47,49,48,45,81,60,48,58,50,57,52,78,62,55,61,52,47,30,54,38,42,48,49,86,58,59,80,80,54,73,42,48,51,55,56,60,51,82,47,51,63,57,54,82,53,78,control
Patient_1,59,62,65,56,62,59,62,62,58,57,57,64,65,57,64,59,49,62,64,59,63,50,61,61,63,63,63,56,66,54,63,60,62,58,60,67,58,56,64,59,63,56,60,66,67,64,34,56,31,64,59,60,62,57,57,63,64,55,56,54,65,51,59,64,59,61,62,57,33,56,63,62,58,64,48,60,64,65,56,60,60,56,64,61,66,57,61,47,62,63,64,27,53,21,47,63,64,55,55,44,56,62,63,64,24,64,52,56,30,24,62,58,66,49,30,48,62,57,64,64,control
Patient_2,67,67,69,53,66,57,66,71,58,41,30,70,65,59,66,60,53,68,67,41,68,54,60,64,68,70,64,55,67,68,68,66,69,58,60,66,59,55,70,52,65,41,51,67,67,66,66,72,66,72,54,73,70,40,38,43,68,39,68,72,69,48,58,67,65,58,64,38,70,41,66,68,55,64,70,66,69,69,55,75,66,67,67,68,67,59,67,48,67,65,69,68,52,66,45,68,69,52,40,70,64,60,66,52,67,69,46,68,69,66,70,56,70,48,70,38,41,52,67,63,control
Patient_3,57,67,66,51,68,54,60,64,51,37,41,64,67,55,66,56,31,67,66,41,61,51,53,60,63,63,57,50,65,56,63,58,68,50,57,64,52,66,63,53,63,40,49,65,67,63,30,61,48,66,51,60,62,38,45,42,59,44,51,62,67,36,52,64,55,53,59,41,42,46,66,60,50,57,48,65,71,67,54,62,65,58,63,58,63,49,58,36,60,64,66,33,45,36,43,62,61,53,44,32,52,49,61,55,39,64,45,51,36,27,68,54,65,41,25,41,35,54,63,49,control
Patient_4,76,56,57,40,55,43,53,53,38,42,34,58,57,39,56,39,47,51,55,44,55,42,42,49,55,55,53,37,54,77,52,53,56,41,38,55,38,48,58,42,49,42,37,53,53,55,71,74,74,54,39,73,56,40,46,46,52,38,76,73,58,43,44,52,36,41,55,41,74,41,54,51,41,51,74,53,59,56,39,78,55,72,55,57,58,36,51,52,51,52,53,74,50,75,50,54,56,35,43,76,36,37,51,42,74,51,48,71,75,73,55,39,58,53,73,46,43,43,48,39,control
Patient_5,107,60,61,62,62,63,61,60,60,42,39,61,61,65,58,63,44,58,59,40,59,53,65,61,59,61,62,62,62,107,62,64,58,60,63,62,61,66,62,67,59,44,62,61,60,59,105,79,114,62,65,75,62,35,41,48,63,41,107,72,58,39,68,61,65,65,63,36,95,37,62,64,66,64,108,63,59,60,65,74,63,114,63,61,62,66,62,43,59,61,61,105,35,113,35,61,64,65,34,106,67,66,61,61,110,61,42,73,99,111,58,67,59,45,74,36,35,67,59,61,control
Patient_6,55,55,61,84,60,85,65,57,80,19,31,58,58,82,57,85,57,63,57,31,59,52,80,63,62,60,63,84,57,50,57,68,57,77,87,59,82,82,56,82,64,23,84,60,57,57,35,54,33,59,89,53,61,27,36,20,61,35,57,55,59,58,87,62,90,81,63,26,28,34,61,64,81,67,46,55,59,57,85,58,54,48,59,62,58,78,65,62,63,63,56,43,62,41,63,56,56,87,44,26,81,82,62,84,33,55,40,53,31,21,63,84,57,56,29,44,27,84,62,79,control
Patient_7,55,59,57,66,57,64,60,55,66,25,38,58,64,65,56,63,54,54,57,43,55,52,61,58,60,54,59,62,60,67,58,62,57,63,63,60,60,66,58,67,62,36,68,58,60,60,48,65,55,57,67,66,58,33,42,30,56,42,57,67,60,56,67,57,63,61,62,31,45,30,57,58,66,60,45,59,59,57,67,61,57,62,55,59,58,60,58,53,62,57,54,46,57,37,55,55,56,68,49,38,62,62,58,68,30,54,50,55,33,33,58,64,58,56,23,50,35,73,58,69,control
Patient_8,81,64,64,60,67,62,69,65,62,41,48,65,62,62,66,62,56,68,65,45,67,54,57,69,62,69,68,60,60,81,67,69,64,63,60,65,60,47,67,61,66,47,62,70,64,65,78,67,79,64,59,73,68,49,47,43,68,50,82,69,65,55,60,66,62,63,68,45,82,43,68,70,62,68,84,64,63,62,61,71,63,81,68,69,65,60,65,56,67,65,62,84,61,81,60,67,66,61,52,85,61,60,69,55,80,64,54,63,83,80,64,63,65,56,64,54,46,60,66,52,control
Patient_9,69,55,59,49,61,46,59,55,42,38,44,56,58,51,59,49,52,57,58,41,55,46,50,53,53,54,56,52,64,68,57,57,63,47,50,57,51,46,60,50,54,45,45,54,57,55,72,74,71,57,47,69,57,34,47,37,54,43,65,72,61,56,50,53,47,50,55,38,69,45,54,53,48,53,67,57,63,56,46,68,57,68,58,54,57,51,54,51,51,59,57,67,57,68,56,57,57,49,52,65,50,49,57,52,70,53,46,76,69,72,55,51,54,52,74,48,45,53,51,42,control
